Height,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
104.5,-0.3521,16.6889,0.08464,14.29421399,15.00364854,15.30757224,15.77176334,16.6889,17.67964923,18.24426701,18.64056333,19.65967592,21.95817842
105,-0.3521,16.8454,0.08493,14.42080852,15.13892508,15.44661481,15.91661074,16.8454,17.84900266,18.42106508,18.82263733,19.85550506,22.18598317
105.5,-0.3521,17.0036,0.08521,14.54898347,15.27581931,15.58729054,16.06311437,17.0036,18.02010085,18.59963234,19.00649725,20.05316158,22.41570188
106,-0.3521,17.1637,0.08551,14.67813071,15.41394374,15.72931138,16.21114367,17.1637,18.19352906,18.78078632,19.19312901,20.25408441,22.64989649
106.5,-0.3521,17.3256,0.0858,14.80893945,15.55377237,15.87305426,16.36092177,17.3256,18.36881034,18.96382269,19.38166335,20.45696047,22.88615272
107,-0.3521,17.4894,0.08611,14.94070215,15.69481753,16.01813079,16.51221764,17.4894,18.54643137,19.1494616,19.57298989,20.6631358,23.12695129
107.5,-0.3521,17.655,0.08641,15.07412163,15.83756341,16.16492643,16.6652603,17.655,18.72590795,19.33698692,19.76622418,20.87127271,23.36982828
108,-0.3521,17.8226,0.08673,15.20856169,15.98160152,16.31313553,16.81990704,17.8226,18.90784035,19.52724063,19.96238364,21.08286117,23.61744876
108.5,-0.3521,17.9924,0.08704,15.34499475,16.12769522,16.46342667,16.97667588,17.9924,19.09205535,19.71982339,20.1609045,21.29689348,23.86769607
109,-0.3521,18.1645,0.08736,15.48295967,16.27553592,16.61556021,17.13543653,18.1645,19.27892235,19.91526745,20.36243732,21.51433911,24.12233423
109.5,-0.3521,18.339,0.08768,15.62280898,16.42540794,16.76978951,17.2963931,18.339,19.46841893,20.11347617,20.56683143,21.73490146,24.38070149
110,-0.3521,18.5158,0.088,15.76445423,16.57721929,16.92602112,17.45944991,18.5158,19.66044065,20.31434264,20.77397824,21.95846773,24.64267642
110.5,-0.3521,18.6948,0.08832,15.9078072,16.73087814,17.08416167,17.62451134,18.6948,19.85488294,20.5177598,20.98376896,22.18492485,24.90813703
111,-0.3521,18.8759,0.08864,16.05277982,16.88629281,17.24411796,17.79148183,18.8759,20.05164117,20.72362044,21.19609462,22.41415944,25.17696078
111.5,-0.3521,19.059,0.08896,16.19928426,17.04337175,17.40579686,17.96026593,19.059,20.25061058,20.93181718,21.41084605,22.64605783,25.44902459
112,-0.3521,19.2439,0.08928,16.34714792,17.20193415,17.5690141,18.13067405,19.2439,20.45158009,21.14213267,21.62780151,22.88038716,25.72407113
112.5,-0.3521,19.4304,0.0896,16.49619859,17.36179952,17.73358563,18.30251675,19.4304,20.65433839,21.35434924,21.84673888,23.11691397,26.00184194
113,-0.3521,19.6185,0.08991,16.64672965,17.52318208,17.89968973,18.47591512,19.6185,20.85874289,21.56823765,22.06736585,23.35517521,26.28144511
113.5,-0.3521,19.8081,0.09022,16.79836394,17.68577908,18.06705755,18.65065436,19.8081,21.06482929,21.7839163,22.2898611,23.59551305,26.56363505
114,-0.3521,19.999,0.09054,16.95062928,17.84919083,18.23532256,18.82642104,19.999,21.27253258,22.00140271,22.51430254,23.83816972,26.84907127
114.5,-0.3521,20.1912,0.09085,17.10412291,18.01385362,18.40484796,19.00346191,20.1912,21.48156184,22.22022915,22.74009356,24.08219959,27.13593005
115,-0.3521,20.3846,0.09116,17.25846043,18.17945927,18.57536029,19.18155898,20.3846,21.69195679,22.44052051,22.96742124,24.32795855,27.42499394
115.5,-0.3521,20.5789,0.09147,17.41338649,18.3457392,18.74658531,19.36042936,20.5789,21.90339897,22.66194784,23.19594928,24.57509138,27.71586531
116,-0.3521,20.7741,0.09177,17.56921155,18.51292041,18.91871205,19.54020154,20.7741,22.11573654,22.88426682,23.42536591,24.82310338,28.00758777
116.5,-0.3521,20.97,0.09208,17.72514518,18.68037032,19.09118,19.72043017,20.97,22.32906071,23.10774654,23.65607016,25.07274686,28.30180914
117,-0.3521,21.1666,0.09239,17.88149542,18.84831411,19.26417665,19.90124267,21.1666,22.54322095,23.33214486,23.88775309,25.32353174,28.59758259
117.5,-0.3521,21.3636,0.0927,18.03800818,19.01648412,19.43742852,20.08235667,21.3636,22.75789823,23.55713185,24.12007715,25.57510084,28.89450671
118,-0.3521,21.5611,0.093,18.19508985,19.185205,19.61122289,20.26399967,21.5611,22.97304094,23.78256322,24.35283024,25.82705758,29.19171623
118.5,-0.3521,21.7588,0.09331,18.35184491,19.35373961,19.78489516,20.44562327,21.7588,23.18864516,24.00861643,24.58632259,26.08007395,29.49080471
119,-0.3521,21.9568,0.09362,18.50867722,19.52241069,19.958731,20.62745386,21.9568,23.40466069,24.23514947,24.82034508,26.33375827,29.79091695
119.5,-0.3521,22.1549,0.09393,18.66541805,19.69104027,20.13254849,20.80930345,22.1549,23.62087456,24.46194196,25.05467212,26.58787157,30.09178393
120,-0.3521,22.353,0.09424,18.82198326,19.8595395,20.30625676,20.99107811,22.353,23.83718023,24.68888365,25.28919087,26.84229437,30.39327144
