Month,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
126,-0.923402008,32.9019405,0.16975652,24.87160213,26.9851126,27.95235549,29.50884578,32.9019405,37.13452754,39.86624779,41.94619515,48.0292722,67.41820018
127,-0.922449626,33.21084056,0.170671631,25.07091395,27.21140271,28.19144111,29.76910767,33.21084056,37.50877888,40.28539167,42.40093137,48.59501613,68.40485229
128,-0.920328095,33.52462611,0.171609672,25.27142092,27.43995419,28.4332567,30.03282382,33.52462611,37.88936749,40.71158638,42.86313423,49.16876327,69.39368324
129,-0.917000159,33.84277286,0.172571987,25.47255288,27.67021809,28.67726138,30.2994634,33.84277286,38.27573843,41.14422871,43.33214639,49.74959827,70.38165706
130,-0.91243114,34.16440115,0.173560704,25.67343924,27.90132948,28.92259139,30.5681621,34.16440115,38.66695652,41.58232062,43.8069053,50.33617449,71.36528197
131,-0.906594342,34.48845714,0.174575447,25.87317437,28.13235742,29.16830148,30.83794733,34.48845714,39.06181595,42.02452295,44.28594956,50.92655794,72.33972024
132,-0.899478763,34.81438768,0.175615963,26.07123697,28.36278415,29.41387315,31.1082957,34.81438768,39.45968153,42.47011635,44.76847735,51.51960476,73.30154137
133,-0.891090084,35.14203875,0.176683959,26.2673432,28.59236529,29.65907929,31.37900618,35.14203875,39.86043175,42.91898093,45.25435832,52.11508893,74.24945427
134,-0.881450536,35.47107964,0.177780119,26.46112733,28.82074989,29.90357477,31.64974128,35.47107964,40.26371953,43.37074139,45.7431854,52.7124553,75.18185992
135,-0.870609269,35.80171862,0.178904558,26.65267255,29.04805648,30.147494,31.92066022,35.80171862,40.66980095,43.82567515,46.23524692,53.31199755,76.09888666
136,-0.858627852,36.13444243,0.180054697,26.84238459,29.27471908,30.39128252,32.19222486,36.13444243,41.07917075,44.28426804,46.73101459,53.91411326,77.00053953
137,-0.845548157,36.469695,0.181226602,27.03066884,29.50116789,30.63537871,32.46488207,36.469695,41.49222516,44.7468589,47.23076991,54.51885311,77.88572987
138,-0.831405094,36.80806186,0.182419413,27.21790531,29.72784608,30.88025277,32.73914272,36.80806186,41.90961324,45.21412024,47.73519451,55.12688895,78.75502307
139,-0.81625495,37.14994548,0.183634226,27.40427948,29.95499656,31.12617405,33.01531856,37.14994548,42.33184682,45.68663336,48.24492316,55.73902521,79.61025869
140,-0.800117184,37.49592911,0.184870708,27.59011834,30.1830256,31.37358265,33.29390036,37.49592911,42.7595875,46.16508911,48.76065885,56.3559605,80.45211121
141,-0.783014911,37.84705878,0.186123021,27.7763097,30.41288901,31.62345956,33.57590126,37.84705878,43.19384997,46.65044114,49.28328895,56.97830487,81.27995946
142,-0.764968203,38.20456943,0.18738378,27.96393644,30.64574234,31.87698612,33.86253376,38.20456943,43.63581033,47.14377942,49.81381487,57.60670556,82.09294891
143,-0.746017006,38.56959363,0.188643542,28.1541161,30.88274265,32.13532914,34.15496911,38.56959363,44.08646429,47.64596456,50.35297321,58.24145632,82.88984834
144,-0.72626161,38.94345505,0.189891545,28.34824672,31.12529494,32.39989023,34.454595,38.94345505,44.5470017,48.15807753,50.90175515,58.88328284,83.67127778
145,-0.705797263,39.32760904,0.191115827,28.54788322,31.37495911,32.67222377,34.76294699,39.32760904,45.01871611,48.6812821,51.46121788,59.53292736,84.43774166
146,-0.684755735,39.72344456,0.192300997,28.75475279,31.63340508,32.95396516,35.08159479,39.72344456,45.50271897,49.21649452,52.03212749,60.1907492,85.1894569
147,-0.663258277,40.13257279,0.193434599,28.97063726,31.90239532,33.24686104,35.4122514,40.13257279,46.00046147,49.76505871,52.61575117,60.85785537,85.92841481
148,-0.641467048,40.55636011,0.194509504,29.19699948,32.18336619,33.55233475,35.75631941,40.55636011,46.51330725,50.32837771,53.21355052,61.53605567,86.6598521
149,-0.619542815,40.99570459,0.195519185,29.43497156,32.47738274,33.87142062,36.11478533,40.99570459,47.04210052,50.90731025,53.82642772,62.22657102,87.38830478
