Length,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
94,-0.3521,13.6572,0.08034,11.7875793,12.34349679,12.58111748,12.9434364,13.6572,14.42523329,14.86157368,15.16726267,15.95126152,17.70884784
94.5,-0.3521,13.7746,0.0804,11.8876339,12.44868019,12.68850067,13.05418234,13.7746,14.54983573,14.99028704,15.29886407,16.09029944,17.86470603
95,-0.3521,13.8928,0.08047,11.98814324,12.55441561,12.79647889,13.16559046,13.8928,14.6753944,15.12004896,15.43158021,16.2306274,18.0222752
95.5,-0.3521,14.012,0.08056,12.08905841,12.66072313,12.90510301,13.2777601,14.012,14.80222509,15.25124435,15.56584585,16.37281321,18.18244766
96,-0.3521,14.1325,0.08067,12.19062705,12.76786562,13.0146425,13.3909709,14.1325,14.93065019,15.38420854,15.70200549,16.51722519,18.34564703
96.5,-0.3521,14.2544,0.08078,12.2933629,12.87624346,13.12544675,13.50549162,14.2544,15.06057384,15.51872801,15.83976045,16.66333639,18.51078447
97,-0.3521,14.3782,0.08092,12.39703244,12.98582605,13.23757588,13.62152524,14.3782,15.19283814,15.65584931,15.98030479,16.81273486,18.68041051
97.5,-0.3521,14.5038,0.08106,12.50220127,13.09699586,13.35133022,13.73924239,14.5038,15.32702999,15.79497163,16.12290207,16.964321,18.85253455
98,-0.3521,14.6316,0.08122,12.60876287,13.2097866,13.4668061,13.85883808,14.6316,15.46378539,15.93687198,16.26843098,17.11924515,19.02897027
98.5,-0.3521,14.7614,0.08139,12.71675902,13.32417298,13.58394834,13.98021001,14.7614,15.60279207,16.0811711,16.416464,17.27695099,19.20884761
99,-0.3521,14.8934,0.08157,12.82635472,13.44033015,13.70293648,14.10354454,14.8934,15.74426508,16.22809277,16.5672311,17.43768464,19.39245039
99.5,-0.3521,15.0275,0.08177,12.93722549,13.55799477,13.82353477,14.22864967,15.0275,15.88821179,16.37770912,16.72085137,17.60169156,19.5803371
100,-0.3521,15.1637,0.08198,13.04959054,13.67732585,13.94587519,14.35561466,15.1637,16.03452879,16.52985472,16.87711451,17.76864125,19.77188198
100.5,-0.3521,15.3018,0.0822,13.16326995,13.79813721,14.06976897,14.48424686,15.3018,16.18300859,16.68431797,17.03580618,17.93831256,19.96685027
101,-0.3521,15.4419,0.08243,13.27834185,13.92051321,14.19530319,14.61463762,15.4419,16.33376097,16.84121443,17.19704605,18.11083613,20.16539894
101.5,-0.3521,15.5838,0.08267,13.39462627,14.04426764,14.32228904,14.74659424,15.5838,16.48657848,17.00033265,17.36061994,18.2859911,20.36729394
102,-0.3521,15.7276,0.08292,13.51220108,14.16948464,14.45081343,14.88020794,15.7276,16.64157108,17.16178844,17.52664789,18.46390869,20.57269353
102.5,-0.3521,15.8732,0.08317,13.63121516,14.29624463,14.58092607,15.01547993,15.8732,16.79852161,17.3252944,17.6947917,18.64411466,20.78078915
103,-0.3521,16.0206,0.08343,13.75142143,14.424368,14.71247774,15.15230917,16.0206,16.95754778,17.49103914,17.86529136,18.82698714,20.99230085
103.5,-0.3521,16.1697,0.0837,13.87272575,14.55375854,14.84537146,15.29059752,16.1697,17.11854806,17.65892049,18.03804439,19.01242315,21.2071266
104,-0.3521,16.3204,0.08397,13.99528336,14.6845014,14.97966087,15.43034893,16.3204,17.281302,17.82864571,18.21270571,19.19993739,21.42443591
104.5,-0.3521,16.4728,0.08425,14.11892661,14.81650222,15.11528459,15.57155416,16.4728,17.44603655,18.0005181,18.38963395,19.39003705,21.64510304
105,-0.3521,16.6268,0.08453,14.24381498,14.94984929,15.25229892,15.71421894,16.6268,17.61252904,18.17424131,18.56847943,19.58222938,21.86828263
105.5,-0.3521,16.7826,0.08481,14.37011781,15.08472094,15.39088608,15.85853144,16.7826,17.78099237,18.35003564,18.74946768,19.77675343,22.09424479
106,-0.3521,16.9401,0.0851,14.49748921,15.22083787,15.53079692,16.00429046,16.9401,17.95144529,18.52799175,18.93274161,19.9738932,22.32362553
106.5,-0.3521,17.0995,0.08539,14.62635184,15.35856269,15.67236678,16.15178792,17.0995,18.12397965,18.70813587,19.11827975,20.17349824,22.55595197
107,-0.3521,17.2607,0.08568,14.75661783,15.49780387,15.81550257,16.30092835,17.2607,18.29849067,18.89036059,19.30597281,20.37545464,22.79110037
107.5,-0.3521,17.4237,0.08599,14.88775509,15.63817387,15.95988211,16.45149333,17.4237,18.47523395,19.075076,19.49634312,20.58058725,23.03064892
108,-0.3521,17.5885,0.08629,15.02054922,15.78024463,16.10598082,16.60380513,17.5885,18.65383273,19.26167776,19.68862111,20.78768134,23.27227571
108.5,-0.3521,17.7553,0.0866,15.15463641,15.92380621,16.2536581,16.75783301,17.7553,18.83475609,19.45079722,19.88355584,20.99780275,23.517833
109,-0.3521,17.9242,0.08691,15.29036425,16.06913921,16.4031642,16.91377896,17.9242,19.01798431,19.64234212,20.08100232,21.21066409,23.76667769
109.5,-0.3521,18.0954,0.08723,15.42762613,16.21622083,16.55451406,17.07171766,18.0954,19.20386336,19.83674644,20.2814583,21.42693479,24.01990527
110,-0.3521,18.2689,0.08755,15.56668846,16.36524513,16.70786902,17.2317585,18.2689,19.39226518,20.03380468,20.48466208,21.64620149,24.27672457
