Month,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
88,1,122.7098,0.04547,112.2156965,115.5592362,116.9269011,118.9464071,122.7098,126.4731929,128.4926989,129.8603638,133.2039035,139.9521053
89,1,123.1868,0.04551,112.6426361,116.0021255,117.3763147,119.4054545,123.1868,126.9681455,128.9972853,130.3714745,133.7309639,140.511357
90,1,123.6646,0.04556,113.0679094,116.4441345,117.8251693,119.8644174,123.6646,127.4647826,129.5040307,130.8850655,134.2612906,141.0754607
91,1,124.1435,0.04561,113.4940986,116.8871179,118.2750224,120.3244142,124.1435,127.9625858,130.0119776,131.3998821,134.7929014,141.6409671
92,1,124.6234,0.04565,113.9234557,117.3325785,118.7270701,120.7861885,124.6234,128.4606115,130.5197299,131.9142215,135.3233443,142.2039115
93,1,125.1045,0.04569,114.3538375,117.7791197,119.1802212,121.2491,125.1045,128.9599,131.0287788,132.4298803,135.8551625,142.7683439
94,1,125.5869,0.04573,114.785335,118.2268354,119.6345709,121.7132454,125.5869,129.4605546,131.5392291,132.9469646,136.388465,143.334379
95,1,126.0706,0.04577,115.2179481,118.6757253,120.0901188,122.1786246,126.0706,129.9625754,132.0510812,133.4654747,136.9232519,143.9020172
96,1,126.5558,0.04581,115.6518592,119.1259776,120.5470555,122.6454314,126.5558,130.4661686,132.5645445,133.9856224,137.4597408,144.4714873
97,1,127.0424,0.04585,116.0869765,119.5774979,121.0052853,123.1135687,127.0424,130.9712313,133.0795147,134.5073021,137.9978235,145.0426757
98,1,127.5304,0.04588,116.5256984,120.0319204,121.46613,123.5838966,127.5304,131.4769034,133.59467,135.0288796,138.5351016,145.611642
99,1,128.0199,0.04591,116.9657357,120.487717,121.928373,124.0556583,128.0199,131.9841417,134.111427,135.552083,139.0740643,146.1824116
100,1,128.5109,0.04594,117.4070881,120.9448877,122.3920141,124.5288537,128.5109,132.4929463,134.6297859,136.0769123,139.6147119,146.7549849
101,1,129.0035,0.04597,117.8498468,121.4035264,122.8571485,125.0035796,129.0035,133.0034204,135.1498515,136.6034736,140.1571532,147.3294765
102,1,129.4975,0.046,118.2938288,121.8634447,123.3235855,125.4796421,129.4975,133.5153579,135.6714145,137.1315553,140.7011712,147.9056585
103,1,129.9932,0.04602,118.7417527,122.3265906,123.7929579,125.9582087,129.9932,134.0281913,136.1934421,137.6598094,141.2446473,148.4798567
104,1,130.4904,0.04604,119.1910095,122.7911227,124.2637383,126.4382153,130.4904,134.5425847,136.7170617,138.1896773,141.7897905,149.0558297
105,1,130.9891,0.04607,119.6391353,123.255362,124.7345688,126.9187784,130.9891,135.0594216,137.2436312,138.722838,142.3390647,149.6376255
106,1,131.4895,0.04608,120.0937035,123.7245327,125.2097126,127.4027422,131.4895,135.5762578,137.7692874,139.2544673,142.8852965,150.2133293
107,1,131.9912,0.0461,120.5469577,124.1932223,125.684716,127.8870686,131.9912,136.0953314,138.297684,139.7891777,143.4354423,150.794628
108,1,132.4944,0.04612,121.0015441,124.6632975,126.1611269,128.3728348,132.4944,136.6159652,138.8276731,140.3255025,143.9872559,151.3777025
109,1,132.9989,0.04613,121.4597812,125.1362745,126.6401332,128.860744,132.9989,137.137056,139.3576668,140.8615255,144.5380188,151.9582146
110,1,133.5046,0.04614,121.9190952,125.6103676,127.1202716,129.3498091,133.5046,137.6593909,139.8889284,141.3988324,145.0901048,152.5401289
111,1,134.0118,0.04615,122.37976,126.0858591,127.6018279,129.8403206,134.0118,138.1832794,140.4217721,141.9377409,145.64384,153.1237885
112,1,134.5202,0.04616,122.8415016,126.5624665,128.0845162,130.331988,134.5202,138.708412,140.9558838,142.4779335,146.1988984,153.7088505
113,1,135.0299,0.04616,123.3069507,127.0420145,128.5698312,130.8258188,135.0299,139.2339812,141.4899688,143.0177855,146.7528493,154.2912567
114,1,135.541,0.04617,123.7711291,127.5211426,129.0550745,131.3200917,135.541,139.7619083,142.0269255,143.5608574,147.3108709,154.8794512
115,1,136.0533,0.04617,124.2389429,128.0031302,129.5428599,131.8164381,136.0533,140.2901619,142.5637401,144.1034698,147.8676571,155.4648441
116,1,136.567,0.04616,124.7106036,128.4881852,130.0333936,132.315062,136.567,140.818938,143.1006064,144.6458148,148.4233964,156.0476165
117,1,137.0821,0.04616,125.180984,128.9728137,130.5238504,132.8141246,137.0821,141.3500754,143.6403496,145.1913863,148.983216,156.6361931
118,1,137.5987,0.04616,125.6527341,129.4588535,131.0157353,133.3146406,137.5987,141.8827594,144.1816647,145.7385465,149.5446659,157.2264835
119,1,138.1167,0.04615,126.1283603,129.9479805,131.5103847,133.8174445,138.1167,142.4159555,144.7230153,146.2854195,150.1050397,157.8141056
120,1,138.6363,0.04614,126.6054672,130.4386262,132.0065684,134.3218057,138.6363,142.9507943,145.2660316,146.8339738,150.6671328,158.4035237
121,1,139.1575,0.04612,127.0866721,130.9325739,132.5057287,134.8286626,139.1575,143.4863374,145.8092713,147.3824261,151.2283279,158.9904376
122,1,139.6803,0.04611,127.5667504,131.4262638,133.0049863,135.3361418,139.6803,144.0244582,146.3556137,147.9343362,151.7938496,159.5834314
123,1,140.2049,0.04609,128.0511292,131.9234576,133.507422,135.8463177,140.2049,144.5634823,146.902378,148.4863424,152.3586708,160.1741166
124,1,140.7313,0.04607,128.5371916,132.422372,134.0115935,136.3582518,140.7313,145.1043482,147.4510065,149.040228,152.9254084,160.7667933
125,1,141.2594,0.04605,129.0248463,132.922913,134.5174056,136.8718473,141.2594,145.6469527,148.0013944,149.595887,153.4939537,161.3613468
126,1,141.7892,0.04603,129.5140935,133.4250808,135.0248585,137.3871043,141.7892,146.1912957,148.5535415,150.1533192,154.0643065,161.9577769
127,1,142.3206,0.046,130.007519,133.9306054,135.5353322,137.9048858,142.3206,146.7363142,149.1058678,150.7105946,154.633681,162.5515709
128,1,142.8534,0.04597,130.5022833,134.4374883,136.0471722,138.4240455,142.8534,147.2827545,149.6596278,151.2693117,155.2045167,163.1468653
129,1,143.3874,0.04594,130.9982041,134.9455415,136.5601882,138.9443895,143.3874,147.8304105,150.2146118,151.8292585,155.7765959,163.7434313
130,1,143.9222,0.04591,131.494916,135.4543888,137.0739993,139.4655304,143.9222,148.3788696,150.7704007,152.3900112,156.349484,164.3408117
131,1,144.4575,0.04588,131.9921452,135.9637477,137.58832,139.9871775,144.4575,148.9278225,151.32668,152.9512523,156.9228548,164.9386639
132,1,144.9929,0.04584,132.4922532,136.4751002,138.1042719,140.5099211,144.9929,149.4758789,151.8815281,153.5106998,157.4935468,165.5320503
133,1,145.528,0.0458,132.9921675,136.9862251,138.6199824,141.0324028,145.528,150.0235972,152.4360176,154.0697749,158.0638325,166.124962
134,1,146.0622,0.04576,133.4913399,137.4965576,139.13488,141.5540412,146.0622,150.5703588,152.98952,154.6278424,158.6330601,166.7167141
