Months,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
2.95687885,0.0684,16.339,0.09258,13.71356919,14.50400465,14.83939727,15.34787289,16.339,17.38949298,17.97881973,18.38843789,19.42673105,21.69073757
2.989733059,0.0652,16.3531,0.09255,13.72686323,14.51741404,14.85288856,15.36152606,16.3531,17.40425676,17.99404165,18.40401451,19.44333967,21.71025232
3.022587269,0.0621,16.3668,0.09252,13.73980165,14.53045899,14.86601047,15.37480102,16.3668,17.41859093,18.00881449,18.41912733,19.45944288,21.72915043
3.055441478,0.0591,16.3803,0.09249,13.75255228,14.54331701,14.87894463,15.38788564,16.3803,17.43270836,18.02335832,18.43400142,19.4752784,21.74769702
3.088295688,0.056,16.3935,0.09245,13.76533475,14.5561077,14.89176913,15.4007962,16.3935,17.44639211,18.03739361,18.44831504,19.49042241,21.76527088
3.121149898,0.053,16.4065,0.09242,13.77766797,14.56852369,14.90425072,15.41341222,16.4065,17.45997629,18.05138565,18.46262453,19.50566127,21.78315383
3.154004107,0.05,16.4192,0.09239,13.78975037,14.58067416,14.91646052,15.42574689,16.4192,17.47324071,18.0650469,18.47659561,19.52054259,21.80063904
3.186858316,0.0471,16.4316,0.09236,13.80156079,14.59254876,14.9283916,15.43779719,16.4316,17.48618201,18.07836916,18.49021544,19.53503723,21.81763917
3.219712526,0.0442,16.4438,0.09233,13.81320424,14.60424655,14.94014167,15.44966006,16.4438,17.49890999,18.09147067,18.5036094,19.5492932,21.83437405
3.252566735,0.0412,16.4557,0.0923,13.8246177,14.61568899,14.95162672,15.46124454,16.4557,17.51132163,18.10424967,18.51667786,19.56322081,21.85079838
3.285420944,0.0384,16.4673,0.09227,13.83573798,14.62684514,14.96282609,15.47254159,16.4673,17.52340679,18.11668147,18.52938222,19.57673249,21.86664961
3.318275154,0.0355,16.4788,0.09224,13.84679616,14.6379235,14.97394209,15.48374812,16.4788,17.53538846,18.12901081,18.54198614,19.59015361,21.8824558
3.351129363,0.0327,16.49,0.09221,13.85758211,14.6487258,14.98477924,15.49467019,16.49,17.54704706,18.14100121,18.55423884,19.60318795,21.89777605
3.383983573,0.0298,16.5009,0.09218,13.86813777,14.65927257,14.99535123,15.50531379,16.5009,17.55838937,18.15266916,18.56616611,19.61589401,21.91278583
3.416837783,0.027,16.5117,0.09215,13.87858917,14.66972089,15.00582605,15.51586082,16.5117,17.56962145,18.16421821,18.57796721,19.62845104,21.92757501
3.449691992,0.0243,16.5222,0.09212,13.88876821,14.67989305,15.01602193,15.52612333,16.5222,17.58053049,18.17542833,18.5894171,19.64062123,21.94187768
3.482546201,0.0215,16.5325,0.09209,13.89880082,14.68989841,15.02604345,15.53620129,16.5325,17.59122967,18.18642606,18.60065413,19.65258207,21.95600272
3.515400411,0.0188,16.5426,0.09206,13.90864504,14.69971639,15.03587685,15.54608867,16.5426,17.60171224,18.1971949,18.61165248,19.66427493,21.96977384
3.54825462,0.0161,16.5525,0.09203,13.91832177,14.70935725,15.04552899,15.55578847,16.5525,17.61198159,18.20774311,18.62242507,19.67572915,21.9832791
3.581108829,0.0134,16.5622,0.09201,13.92756842,14.71863202,15.05484359,15.56519559,16.5622,17.6221565,18.21825929,18.63321034,19.68731413,21.99719568
3.613963039,0.0107,16.5717,0.09198,13.93690999,14.72791846,15.06413306,15.57452012,16.5717,17.63199952,18.22836644,18.64353167,19.69829144,22.01017013
3.646817248,0.0081,16.581,0.09195,13.94606304,14.73701743,15.07323433,15.58365402,16.581,17.64162597,18.23824473,18.65361434,19.7090007,22.02279004
3.679671458,0.0055,16.5901,0.09192,13.95504844,14.74593917,15.08215424,15.59260028,16.5901,17.65103923,18.24790243,18.6634713,19.71947132,22.03514388
3.712525668,0.0029,16.5991,0.09189,13.96395027,14.75477251,15.09098369,15.60145288,16.5991,17.66034571,18.25744956,18.67321505,19.72982216,22.04736444
3.745379877,3.00E-04,16.6078,0.09187,13.97233743,14.76315047,15.09938431,15.60991853,16.6078,17.66945181,18.26685545,18.68286003,19.74018676,22.05986772
3.778234086,-0.0023,16.6164,0.09184,13.9809037,14.77162915,15.10785089,15.61839573,16.6164,17.67833204,18.27596161,18.6921526,19.75006071,22.07155694
3.811088296,-0.0048,16.6249,0.09181,13.98936547,14.78000915,15.1162201,15.62677625,16.6249,17.68710213,18.28494892,18.70131904,19.75978542,22.08302381
3.843942505,-0.0074,16.6331,0.09179,13.99733314,14.78794375,15.12416713,15.63477265,16.6331,17.69567548,18.29380375,18.71040027,19.76955444,22.09486489
3.876796714,-0.0099,16.6412,0.09176,14.00545914,14.79596895,15.13217336,15.64277771,16.6412,17.70401936,18.30235015,18.71911557,19.77880225,22.10580008
