Month,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
120,-0.5958,31.8578,0.17262,23.67642661,25.88007291,26.8772651,28.46606349,31.8578,35.94349286,38.49250534,40.38689142,45.69964061,60.53457556
121,-0.719307028,32.2327332,0.194892012,23.28126212,25.61770961,26.69247168,28.42811585,32.2327332,37.00569135,40.09477736,42.4485661,49.32770801,70.97367937
122,-0.704038534,32.54883464,0.19605791,23.45104827,25.82622602,26.91874685,28.68289903,32.54883464,37.3953867,40.52957605,42.91620042,49.8828109,71.70754342
123,-0.68856503,32.87133101,0.197191282,23.62492015,26.03960642,27.15020586,28.94332696,32.87133101,37.79187455,40.97108943,43.39031221,50.44283223,72.43403743
124,-0.672944825,33.20115589,0.198288391,23.80372429,26.25872425,27.38773328,29.21030079,33.20115589,38.19612864,41.42032192,43.87193402,51.00892426,73.15534799
125,-0.657229013,33.5394296,0.199345872,23.9884254,26.48458929,27.63235827,29.48487952,33.5394296,38.6093453,41.87852347,44.36236135,51.5825519,73.87409538
126,-0.641468477,33.88703477,0.200359825,24.1798435,26.71804319,27.88493082,29.76792492,33.88703477,39.03243158,42.34662124,44.86254131,52.16475693,74.59222232
127,-0.625710389,34.24497471,0.201326998,24.37886497,26.96000701,28.14638663,30.06039492,34.24497471,39.46644921,42.82572096,45.37361879,52.75683883,75.31212477
128,-0.609997681,34.61417141,0.202244965,24.58628993,27.21131551,28.41757532,30.36316225,34.61417141,39.91238724,43.31686336,45.89668044,53.36006252,76.03623944
129,-0.594395562,34.9948771,0.203109586,24.80254759,27.47235241,28.69885899,30.67655382,34.9948771,40.37041925,43.82018614,46.43184697,53.97456184,76.76551055
130,-0.578925743,35.38720705,0.203918463,25.02786149,27.74331946,28.99042745,31.00073806,35.38720705,40.84058949,44.33568997,46.97908915,54.60024623,77.50003965
131,-0.563616325,35.79060591,0.204668017,25.26204945,28.02394429,29.29196462,31.33532602,35.79060591,41.32213049,44.86247374,47.53740813,55.23586179,78.23818902
132,-0.548468379,36.20452061,0.205355805,25.50486638,28.31391251,29.60312123,31.67990847,36.20452061,41.81429297,45.39965703,48.10582343,55.88014439,78.97800415
133,-0.53350658,36.62823981,0.205978706,25.75603309,28.61283844,29.92346048,32.03396414,36.62823981,42.31612822,45.94614399,48.68313267,56.53161731,79.71759042
134,-0.518755631,37.06127248,0.206534269,26.015418,28.92050069,30.25271814,32.39715826,37.06127248,42.82695636,46.50114244,49.26846536,57.18922485,80.45578612
135,-0.504263495,37.50333341,0.207019814,26.28309736,29.2368785,30.59082871,32.76935391,37.50333341,43.34633366,47.06412807,49.86124914,57.85232654,81.1924289
136,-0.490083734,37.95419081,0.207432858,26.55920608,29.56200491,30.93777902,33.15046527,37.95419081,43.87388222,47.63465556,50.46100316,58.52041934,81.92767874
137,-0.476270041,38.41332614,0.207770503,26.84371739,29.89571782,31.29334554,33.54017178,38.41332614,44.4088749,48.21189127,51.06682884,59.19249746,82.6608975
138,-0.462877079,38.87979732,0.208030136,27.13632131,30.23753212,31.65696412,33.93778493,38.87979732,44.95009943,48.79448067,51.67728135,59.86694132,83.39064001
139,-0.449933769,39.35279147,0.208209598,27.43675797,30.58703853,32.0281572,34.34271847,39.35279147,45.49649039,49.38121741,52.29105948,60.5422337,84.11517554
140,-0.437497083,39.83107115,0.208307343,27.74451074,30.94351486,32.40611128,34.75401704,39.83107115,46.04652133,49.97042888,52.90640083,61.21645142,84.83283207
141,-0.425615437,40.3137207,0.208322192,28.05927505,31.30647955,32.79026675,35.17100062,40.3137207,46.59904319,50.56085335,53.5219776,61.88816449,85.54249367
142,-0.414346671,40.7995606,0.208253465,28.38057194,31.67524663,33.17984739,35.59275492,40.7995606,47.15262164,51.15093791,54.13616996,62.5556629,86.24288223
143,-0.403772179,41.28706102,0.208101556,28.70768503,32.04884971,33.57378,36.01804634,41.28706102,47.70546566,51.73878594,54.74703213,63.21699599,86.93296064
144,-0.393928527,41.77520129,0.207867421,29.04015412,32.42665662,33.97135896,36.4460588,41.77520129,48.25637097,52.32311501,55.35324157,63.87080603,87.61172557
145,-0.384867281,42.26218037,0.207552768,29.37696991,32.8074159,34.37122939,36.87528184,42.26218037,48.80326815,52.90173469,55.95254074,64.51474523,88.2771747
146,-0.376615121,42.74625917,0.207158974,29.71713399,33.18990838,34.77207681,37.30425584,42.74625917,49.34413974,53.47248595,56.54268052,65.14637364,88.92664276
147,-0.369216692,43.2252587,0.206687672,30.05935723,33.57257626,35.17222825,37.73113345,43.2252587,49.87648402,54.03270788,57.12090177,65.76274008,89.55711087
148,-0.362711443,43.69782461,0.206139121,30.40297394,33.95454359,35.57071809,38.15481405,43.69782461,50.39870544,54.5806891,57.68542318,66.36193236,90.16663124
149,-0.357149844,44.16244801,0.205515177,30.74714264,34.33475501,35.96640199,38.5740223,44.16244801,50.90909782,55.11464509,58.23442289,66.94210912,90.75377799
150,-0.352554277,44.61835984,0.204817667,31.09146886,34.7126903,36.3587087,38.98811348,44.61835984,51.40679856,55.63368299,58.76699781,67.50238447,91.31788893
151,-0.348935396,45.06477507,0.204050248,31.43541091,35.08771636,36.74697009,39.39637179,45.06477507,51.89099303,56.13699542,59.28235677,68.04205114,91.85861148
152,-0.34628544,45.5011218,0.203214976,31.77859975,35.45939599,37.13072158,39.79829333,45.5011218,52.36105056,56.62392381,59.77982308,68.56038446,92.37496833
153,-0.344594928,45.92661976,0.202315958,32.12038651,35.82702686,37.50924136,40.19313094,45.92661976,52.81618177,57.09368554,60.25862344,69.05664724,92.86626225
154,-0.343860477,46.34092949,0.201355518,32.46051198,36.19031442,37.88222253,40.58056234,46.34092949,53.25604833,57.54595115,60.71843736,69.53054753,93.33219457
155,-0.344067195,46.74374525,0.200338598,32.79855358,36.54885121,38.24926897,40.96021459,46.74374525,53.68044898,57.9805927,61.15919363,69.98217482,93.77320529
