Length,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
84,-0.3833,10.9767,0.08903,9.332304406,9.816874349,10.02513547,10.34399009,10.9767,11.66422592,12.05789734,12.33500921,13.05063871,14.6803923
84.5,-0.3833,11.0974,0.089,9.435422866,9.92518648,10.13567643,10.45793965,11.0974,11.79224173,12.19009327,12.47014383,13.19334829,14.84028014
85,-0.3833,11.2198,0.08898,9.539829115,10.03490385,10.24767416,10.57342608,11.2198,11.92214095,12.32428042,12.60734675,13.33832965,15.00292611
85.5,-0.3833,11.3435,0.08897,9.645177651,10.14566477,10.36076004,10.69007019,11.3435,12.05350115,12.46002362,12.74617385,13.48511574,15.1678117
86,-0.3833,11.4684,0.08895,9.75172262,10.25762765,10.4750491,10.80791798,11.4684,12.18605051,12.59694665,12.8861729,13.63304848,15.33376073
86.5,-0.3833,11.594,0.08895,9.858521857,10.36996748,10.58977008,10.92628449,11.594,12.3195101,12.7349063,13.02730011,13.78235535,15.50169352
87,-0.3833,11.7201,0.08895,9.965746249,10.48275451,10.70494776,11.04512221,11.7201,12.45350098,12.87341516,13.16898914,13.93225659,15.67029482
87.5,-0.3833,11.8461,0.08895,10.07288561,10.59545211,10.8200341,11.16386568,11.8461,12.5873856,13.01181418,13.3105658,14.08203896,15.83876243
88,-0.3833,11.972,0.08896,10.17976002,10.70792877,10.93491964,11.28244053,11.972,12.72125178,13.15024464,13.45221037,14.23198847,16.00764925
88.5,-0.3833,12.0976,0.08898,10.28619376,10.8200015,11.04941826,11.40065592,12.0976,12.85488978,13.28849132,13.59370381,14.38187639,16.17670537
89,-0.3833,12.2229,0.089,10.39236489,10.93180041,11.16363828,11.51858549,12.2229,12.98821269,13.42641439,13.73486772,14.53141968,16.34538361
89.5,-0.3833,12.3477,0.08903,10.49791787,11.04301105,11.27728418,11.63596404,12.3477,13.12109855,13.56393988,13.87566328,14.68067558,16.5139869
90,-0.3833,12.4723,0.08906,10.60328961,11.15403463,11.3907406,11.75314947,12.4723,13.25377737,13.70125453,14.0162454,14.82971163,16.68235752
90.5,-0.3833,12.5965,0.08909,10.70831012,11.26469232,11.50382489,11.86995334,12.5965,13.38603662,13.83813859,14.15638927,14.97828999,16.85022786
91,-0.3833,12.7205,0.08913,10.81295837,11.37502333,11.61660345,11.9864851,12.7205,13.51818213,13.97496189,14.29651122,15.12695245,17.01845329
91.5,-0.3833,12.8443,0.08918,10.91722887,11.48502364,11.72907293,12.10274247,12.8443,13.65021663,14.11172885,14.43661687,15.27570794,17.18705125
92,-0.3833,12.9681,0.08923,11.02148089,11.59501042,11.84153114,12.21899215,12.9681,13.78226024,14.24851047,14.57674125,15.42449323,17.35570715
92.5,-0.3833,13.092,0.08928,11.12579941,11.70507308,11.95406937,12.33532839,13.092,13.91441923,14.38541665,14.71699679,15.57342729,17.52455489
93,-0.3833,13.2158,0.08934,11.22981605,11.81488774,12.06638425,12.45148064,13.2158,14.04657804,14.52238367,14.85735782,15.72258829,17.69393825
93.5,-0.3833,13.3399,0.08941,11.33386518,11.92480798,12.17883761,12.56782348,13.3399,14.17916455,14.65985554,14.99827969,15.87246118,17.86441057
94,-0.3833,13.4643,0.08948,11.43814333,12.03497743,12.29154904,12.68443819,13.4643,14.31208274,14.79767775,15.13956525,16.02273307,18.0353666
94.5,-0.3833,13.5892,0.08955,11.54282028,12.14557477,12.40470107,12.80151314,13.5892,14.44554528,14.93607021,15.28143951,16.17364215,18.20707464
95,-0.3833,13.7146,0.08963,11.64769011,12.25644944,12.5181683,12.91896309,13.7146,14.5796529,15.07519504,15.42410941,16.32551695,18.38017066
95.5,-0.3833,13.8408,0.08972,11.75300188,12.36786533,12.63222105,13.03706825,13.8408,14.71472742,15.2153867,15.56791832,16.47872417,18.55507559
96,-0.3833,13.9676,0.08981,11.85878939,12.4797926,12.74680075,13.15572449,13.9676,14.85045662,15.35626504,15.71243676,16.63270101,18.73089292
96.5,-0.3833,14.0953,0.0899,11.96530709,12.5924991,12.86218102,13.27521426,14.0953,14.98715961,15.49816013,15.85800248,16.78780518,18.90802591
97,-0.3833,14.2239,0.09,12.07234139,12.70582862,12.97823176,13.39544911,14.2239,15.124941,15.64124037,16.00483046,16.94437807,19.08713594
97.5,-0.3833,14.3537,0.0901,12.18035596,12.82020201,13.09535399,13.51679812,14.3537,15.26401748,15.78567098,16.15304808,17.10244334,19.26797936
98,-0.3833,14.4848,0.09021,12.2892181,12.93554944,13.21350641,13.63926531,14.4848,15.40460205,15.93173363,16.30298704,17.26246829,19.4513652
98.5,-0.3833,14.6174,0.09033,12.3990911,13.0520448,13.33286753,13.76303632,14.6174,15.54691068,16.07965358,16.45487923,17.42470215,19.63758357
99,-0.3833,14.7519,0.09044,12.51074942,13.17036357,13.4540673,13.88866805,14.7519,15.69115544,16.2295274,16.60873649,17.58892528,19.82582198
